Paper,Adaptive Systems,Evaluation of Systems and Algorithms,Model Steering and Active Learning,Replication,Report Generation,Understanding the User,Grammar,Graph,Model,Sequence,Classification Models,Pattern Analysis,Probabilistic Models/Prediction,Program Synthesis,Interactive Visual Analysis
Srinivasan et al. (2018),1,1,0,0,0,0,3,0,0,0,0,0,0,2,0
Wall et al. (2018),0,0,0,0,0,1,0,0,3,0,2,0,0,0,0
Liu et al. (2017),0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Cho et al. (2017),0,0,0,0,0,1,0,0,0,3,2,2,0,0,0
Blascheck (2018),0,0,0,0,0,1,0,0,0,3,2,0,0,2,0
Dou et al. (2009),0,0,0,0,0,1,0,0,0,3,2,0,0,2,0
Boukhelifa (2019),0,0,0,0,0,1,0,0,0,3,2,0,0,0,0
Guo et al. (2015),0,0,0,0,0,1,0,0,0,3,2,0,0,0,0
Feng et al. (2019),0,0,0,0,0,1,0,0,0,3,0,0,2,0,0
Battle and Heer (2019),0,0,0,0,0,1,0,0,0,3,0,2,2,0,0
Nguyen et al. (2018),0,0,0,0,0,1,0,0,0,3,0,2,2,0,0
Wei et al. (2012),0,0,0,0,0,1,0,0,0,3,0,0,2,0,0
Blascheck et al. (2016),0,0,0,0,0,1,0,0,0,3,0,0,0,0,2
Toker et al. (2017),0,0,0,0,0,1,0,0,0,0,2,0,2,0,0
Yu and Silva (2020),0,0,0,0,0,1,0,0,0,0,2,0,0,0,0
Mannino and Abouzied (2019),0,0,0,0,0,1,0,0,0,0,0,2,2,0,0
Kodagoda et al. (2013),0,0,0,0,0,1,0,0,0,0,0,2,0,0,0
Madanagopal et al. (2019),0,0,0,0,0,1,0,0,0,0,0,0,0,2,0
Kondo and Collins (2014),0,0,0,0,0,0,0,0,3,0,0,0,0,0,2
